[0] trade: price=9089.220000, volume=127
[183] trade: price=8704.680000, volume=183
[184] trade: price=8597.930000, volume=51
[185] trade: price=8597.930000, volume=105
[186] trade: price=8704.680000, volume=113
[187] trade: price=8597.930000, volume=270
[188] trade: price=8387.730000, volume=99
[189] trade: price=8704.680000, volume=84
[190] trade: price=8704.680000, volume=38
[191] trade: price=8387.730000, volume=10
[192] trade: price=8704.680000, volume=7
[193] trade: price=8704.680000, volume=54
[194] trade: price=8704.680000, volume=126
[195] trade: price=8791.300000, volume=83
[196] trade: price=8821.990000, volume=150
[197] trade: price=8387.730000, volume=104
[198] trade: price=8325.680000, volume=174
[199] trade: price=8325.680000, volume=102
[200] trade: price=8281.360000, volume=156
[201] trade: price=8281.360000, volume=40
[202] trade: price=8281.360000, volume=238
[203] trade: price=8285.040000, volume=117
[204] trade: price=8285.040000, volume=50
[205] trade: price=8301.050000, volume=143
[206] trade: price=8301.050000, volume=190
[207] trade: price=8396.790000, volume=121
[208] trade: price=8396.790000, volume=111
[209] trade: price=8396.790000, volume=80
[210] trade: price=8396.790000, volume=17
[211] trade: price=8396.790000, volume=28
[212] trade: price=8396.790000, volume=93
[213] trade: price=8396.790000, volume=29
[214] trade: price=8396.790000, volume=50
[215] trade: price=8396.790000, volume=289
[216] trade: price=8465.800000, volume=290
[217] trade: price=8396.790000, volume=13
[218] trade: price=8301.050000, volume=1
[219] trade: price=8301.050000, volume=86
[220] trade: price=8301.050000, volume=31
[221] trade: price=8301.050000, volume=158
[222] trade: price=8514.540000, volume=186
[223] trade: price=8514.540000, volume=57
[224] trade: price=8514.540000, volume=9
[225] trade: price=8514.540000, volume=108
[226] trade: price=8462.240000, volume=51
[227] trade: price=8462.240000, volume=77
[228] trade: price=8462.240000, volume=122
[229] trade: price=8462.240000, volume=147
[230] trade: price=8462.240000, volume=92
[231] trade: price=8462.240000, volume=218
[232] trade: price=8593.480000, volume=78
[233] trade: price=8593.480000, volume=109
[234] trade: price=8593.480000, volume=9
[235] trade: price=8645.420000, volume=108
[236] trade: price=8645.420000, volume=95
[237] trade: price=8645.420000, volume=28
[238] trade: price=8645.420000, volume=38
[239] trade: price=8645.420000, volume=25
[240] trade: price=8645.420000, volume=43
[241] trade: price=8645.420000, volume=277
[242] trade: price=8645.420000, volume=98
[243] trade: price=8547.460000, volume=102
[244] trade: price=8547.460000, volume=67
[245] trade: price=8388.590000, volume=239
[246] trade: price=8545.400000, volume=115
[247] trade: price=8545.400000, volume=176
[248] trade: price=8545.400000, volume=114
[249] trade: price=8545.400000, volume=111
[250] trade: price=8545.400000, volume=229
[251] trade: price=8545.400000, volume=110
[252] trade: price=8545.400000, volume=34
[253] trade: price=8545.400000, volume=163
[254] trade: price=8545.400000, volume=36
[255] trade: price=8545.400000, volume=324
[256] trade: price=8547.460000, volume=127
[257] trade: price=8547.460000, volume=48
[258] trade: price=8547.460000, volume=182
[259] trade: price=8547.460000, volume=57
[260] trade: price=8547.460000, volume=59
[261] trade: price=8547.460000, volume=98
[262] trade: price=8547.460000, volume=22
[263] trade: price=8547.460000, volume=42
[264] trade: price=8547.460000, volume=13
[265] trade: price=8547.460000, volume=17
[266] trade: price=8640.440000, volume=297
[267] trade: price=8640.440000, volume=81
[268] trade: price=8654.770000, volume=69
[269] trade: price=8654.770000, volume=206
[270] trade: price=8642.780000, volume=275
[271] trade: price=8654.770000, volume=1
[272] trade: price=8654.770000, volume=82
[273] trade: price=8668.580000, volume=67
[274] trade: price=8668.580000, volume=96
[275] trade: price=8654.770000, volume=131
[276] trade: price=8654.770000, volume=31
[277] trade: price=8654.770000, volume=172
[278] trade: price=8654.770000, volume=27
[279] trade: price=8654.770000, volume=32
[280] trade: price=8654.770000, volume=59
[281] trade: price=8458.130000, volume=132
[282] trade: price=8540.920000, volume=113
[283] trade: price=8540.920000, volume=210
[284] trade: price=8458.130000, volume=23
[285] trade: price=8668.580000, volume=52
[286] trade: price=8668.580000, volume=153
[287] trade: price=8668.580000, volume=81
[288] trade: price=8668.580000, volume=30
[289] trade: price=8551.690000, volume=201
[290] trade: price=8458.130000, volume=2
[291] trade: price=8458.130000, volume=176
[292] trade: price=8458.130000, volume=158
[293] trade: price=8458.130000, volume=77
[294] trade: price=8551.690000, volume=50
[295] trade: price=8551.690000, volume=30
[296] trade: price=8551.690000, volume=115
[297] trade: price=8551.690000, volume=56
[298] trade: price=8384.860000, volume=240
[299] trade: price=8384.860000, volume=7
[300] trade: price=8384.860000, volume=64
[301] trade: price=8384.860000, volume=241
[302] trade: price=8384.860000, volume=10
[303] trade: price=8299.610000, volume=65
[304] trade: price=8299.610000, volume=11
[305] trade: price=8315.640000, volume=236
[306] trade: price=8315.640000, volume=144
[307] trade: price=8438.420000, volume=18
[308] trade: price=8438.420000, volume=176
[309] trade: price=8413.000000, volume=47
[310] trade: price=8348.190000, volume=90
[311] trade: price=8348.190000, volume=91
[312] trade: price=8348.190000, volume=14
[313] trade: price=8588.750000, volume=12
[314] trade: price=8588.750000, volume=71
[315] trade: price=8456.680000, volume=320
[316] trade: price=8456.680000, volume=2
[317] trade: price=8538.210000, volume=264
[318] trade: price=8653.170000, volume=229
[319] trade: price=8653.170000, volume=124
[320] trade: price=8653.170000, volume=77
[321] trade: price=8653.170000, volume=270
[322] trade: price=8653.170000, volume=89
[323] trade: price=8653.170000, volume=63
[324] trade: price=8653.170000, volume=176
[325] trade: price=8653.170000, volume=118
[326] trade: price=8653.170000, volume=27
[327] trade: price=8653.170000, volume=228
[328] trade: price=8706.700000, volume=12
[329] trade: price=8706.700000, volume=254
[330] trade: price=8740.200000, volume=143
[331] trade: price=8659.170000, volume=143
[332] trade: price=8659.170000, volume=131
[333] trade: price=8598.710000, volume=24
[334] trade: price=8481.240000, volume=131
[335] trade: price=8840.530000, volume=142
[336] trade: price=8840.530000, volume=45
[337] trade: price=8840.530000, volume=82
[338] trade: price=8481.240000, volume=40
[339] trade: price=8449.110000, volume=130
[340] trade: price=8481.240000, volume=117
[341] trade: price=8481.240000, volume=101
[342] trade: price=8449.110000, volume=194
[343] trade: price=8343.250000, volume=151
[344] trade: price=8343.250000, volume=167
[345] trade: price=8343.250000, volume=95
[346] trade: price=8481.240000, volume=130
[347] trade: price=8840.530000, volume=66
[348] trade: price=8840.530000, volume=154
[349] trade: price=8840.530000, volume=93
[350] trade: price=9033.970000, volume=68
[351] trade: price=9033.970000, volume=27
[352] trade: price=9091.640000, volume=82
[353] trade: price=9091.640000, volume=80
[354] trade: price=9091.640000, volume=92
[355] trade: price=9091.640000, volume=68
[356] trade: price=9091.640000, volume=56
[357] trade: price=9091.640000, volume=6
[358] trade: price=9091.640000, volume=149
[359] trade: price=9091.640000, volume=55
[360] trade: price=9091.640000, volume=208
[361] trade: price=9091.640000, volume=65
[362] trade: price=9091.640000, volume=2
[363] trade: price=9091.640000, volume=275
[364] trade: price=9091.640000, volume=105
[365] trade: price=9091.640000, volume=26
[366] trade: price=8924.760000, volume=154
[367] trade: price=8924.760000, volume=202
[368] trade: price=8924.760000, volume=121
[369] trade: price=9091.640000, volume=60
[370] trade: price=9091.640000, volume=173
[371] trade: price=8883.890000, volume=169
[372] trade: price=8883.890000, volume=96
[373] trade: price=8785.460000, volume=88
[374] trade: price=8726.020000, volume=175
[375] trade: price=8785.460000, volume=71
[376] trade: price=8785.460000, volume=13
[377] trade: price=8785.460000, volume=21
[378] trade: price=8726.020000, volume=81
[379] trade: price=8726.020000, volume=151
[380] trade: price=8726.020000, volume=160
[381] trade: price=8785.460000, volume=246
[382] trade: price=8785.460000, volume=53
[383] trade: price=8785.460000, volume=304
[384] trade: price=8883.890000, volume=6
[385] trade: price=8726.020000, volume=212
[386] trade: price=8726.020000, volume=12
[387] trade: price=8883.890000, volume=127
[388] trade: price=8883.890000, volume=94
[389] trade: price=8883.890000, volume=104
[390] trade: price=9091.640000, volume=49
[391] trade: price=9091.640000, volume=35
[392] trade: price=8726.020000, volume=223
[393] trade: price=8726.020000, volume=7
[394] trade: price=8726.020000, volume=197
[395] trade: price=8725.400000, volume=85
[396] trade: price=8659.320000, volume=84
[397] trade: price=8726.020000, volume=38
[398] trade: price=8726.020000, volume=99
[399] trade: price=8726.020000, volume=224
[400] trade: price=9091.640000, volume=59
[401] trade: price=9091.640000, volume=247
[402] trade: price=9094.090000, volume=130
[403] trade: price=9094.090000, volume=46
[404] trade: price=8990.520000, volume=10
[405] trade: price=8990.520000, volume=107
[406] trade: price=8990.520000, volume=99
[407] trade: price=8990.520000, volume=141
[408] trade: price=8990.520000, volume=2
[409] trade: price=8990.520000, volume=45
[410] trade: price=8990.520000, volume=67
[411] trade: price=8990.520000, volume=147
[412] trade: price=8990.520000, volume=37
[413] trade: price=8990.520000, volume=114
[414] trade: price=9157.980000, volume=110
[415] trade: price=9157.980000, volume=190
[416] trade: price=9229.140000, volume=144
[417] trade: price=9086.290000, volume=98
[418] trade: price=9113.020000, volume=193
[419] trade: price=9113.020000, volume=78
[420] trade: price=9113.020000, volume=219
[421] trade: price=9086.290000, volume=126
[422] trade: price=8942.360000, volume=180
[423] trade: price=8762.700000, volume=160
[424] trade: price=8762.700000, volume=58
[425] trade: price=8762.700000, volume=40
[426] trade: price=8890.860000, volume=158
[427] trade: price=8942.360000, volume=75
[428] trade: price=8942.360000, volume=79
[429] trade: price=8942.360000, volume=240
[430] trade: price=8948.380000, volume=82
[431] trade: price=8948.380000, volume=213
[432] trade: price=8922.110000, volume=46
[433] trade: price=8922.110000, volume=223
[434] trade: price=8922.110000, volume=19
[435] trade: price=8948.380000, volume=30
[436] trade: price=8948.380000, volume=318
[437] trade: price=9113.020000, volume=4
[438] trade: price=9113.020000, volume=107
[439] trade: price=8826.210000, volume=54
[440] trade: price=8826.210000, volume=93
[441] trade: price=8780.300000, volume=185
[442] trade: price=8780.300000, volume=67
[443] trade: price=8915.640000, volume=44
[444] trade: price=8915.640000, volume=196
[445] trade: price=8762.700000, volume=33
[446] trade: price=8762.700000, volume=33
[447] trade: price=8762.700000, volume=230
[448] trade: price=8826.640000, volume=29
[449] trade: price=8826.640000, volume=234
[450] trade: price=8762.700000, volume=76
[451] trade: price=8600.960000, volume=104
[452] trade: price=8826.640000, volume=132
[453] trade: price=8826.640000, volume=125
[454] trade: price=8826.640000, volume=24
[455] trade: price=8826.640000, volume=117
[456] trade: price=8826.640000, volume=94
[457] trade: price=8826.640000, volume=135
[458] trade: price=8826.640000, volume=14
[459] trade: price=8826.640000, volume=22
[460] trade: price=8826.640000, volume=95
[461] trade: price=8723.650000, volume=167
[462] trade: price=8679.070000, volume=32
[463] trade: price=8679.070000, volume=15
[464] trade: price=8679.070000, volume=81
[465] trade: price=8679.070000, volume=61
[466] trade: price=8679.070000, volume=150
[467] trade: price=8679.070000, volume=180
[468] trade: price=8679.070000, volume=135
[469] trade: price=8734.830000, volume=202
[470] trade: price=8734.830000, volume=27
[471] trade: price=8734.830000, volume=216
[472] trade: price=8746.420000, volume=132
[473] trade: price=8746.420000, volume=80
[474] trade: price=8746.420000, volume=164
[475] trade: price=8767.180000, volume=93
[476] trade: price=8710.820000, volume=94
[477] trade: price=8767.180000, volume=16
[478] trade: price=8767.180000, volume=50
[479] trade: price=8767.180000, volume=134
[480] trade: price=8767.180000, volume=232
[481] trade: price=8767.180000, volume=69
[482] trade: price=8710.820000, volume=205
[483] trade: price=8710.820000, volume=8
[484] trade: price=8710.820000, volume=186
[485] trade: price=8710.820000, volume=103
[486] trade: price=8767.180000, volume=111
[487] trade: price=8767.180000, volume=49
[488] trade: price=8767.180000, volume=242
[489] trade: price=8767.180000, volume=121
[490] trade: price=8767.180000, volume=34
[491] trade: price=8897.650000, volume=69
[492] trade: price=9017.790000, volume=145
[493] trade: price=9017.790000, volume=251
[494] trade: price=9036.970000, volume=123
[495] trade: price=9036.970000, volume=92
[496] trade: price=9122.120000, volume=158
[497] trade: price=9122.120000, volume=68
[498] trade: price=9122.120000, volume=94
[499] trade: price=8967.750000, volume=12
[500] trade: price=8967.750000, volume=36
[501] trade: price=9108.040000, volume=197
[502] trade: price=9112.360000, volume=134
[503] trade: price=9108.040000, volume=156
[504] trade: price=9022.690000, volume=158
[505] trade: price=9022.690000, volume=55
[506] trade: price=9112.360000, volume=33
[507] trade: price=9022.690000, volume=7
[508] trade: price=9022.690000, volume=39
[509] trade: price=9022.690000, volume=224
[510] trade: price=9112.360000, volume=173
[511] trade: price=9112.360000, volume=158
[512] trade: price=9112.360000, volume=230
[513] trade: price=9112.360000, volume=132
[514] trade: price=9022.690000, volume=104
[515] trade: price=9022.690000, volume=60
[516] trade: price=9022.690000, volume=212
[517] trade: price=9112.360000, volume=169
[518] trade: price=9022.690000, volume=11
[519] trade: price=8836.160000, volume=302
[520] trade: price=8860.850000, volume=53
[521] trade: price=8860.850000, volume=229
[522] trade: price=8860.850000, volume=161
[523] trade: price=8860.850000, volume=176
[524] trade: price=9007.470000, volume=126
[525] trade: price=9030.340000, volume=203
[526] trade: price=9007.470000, volume=60
[527] trade: price=9007.470000, volume=62
[528] trade: price=8860.850000, volume=35
[529] trade: price=8836.160000, volume=20
[530] trade: price=8903.670000, volume=38
[531] trade: price=8903.670000, volume=136
[532] trade: price=8903.670000, volume=196
[533] trade: price=8903.670000, volume=184
[534] trade: price=8903.670000, volume=2
[535] trade: price=8903.670000, volume=309
[536] trade: price=8903.670000, volume=62
[537] trade: price=8903.670000, volume=76
[538] trade: price=8698.620000, volume=27
[539] trade: price=8903.670000, volume=37
[540] trade: price=9007.470000, volume=44
[541] trade: price=9007.470000, volume=128
[542] trade: price=9030.340000, volume=119
[543] trade: price=9112.360000, volume=89
[544] trade: price=9112.360000, volume=44
[545] trade: price=9112.360000, volume=295
[546] trade: price=9122.120000, volume=35
[547] trade: price=9122.120000, volume=26
[548] trade: price=9122.120000, volume=55
[549] trade: price=9175.830000, volume=111
[550] trade: price=8698.620000, volume=291
[551] trade: price=8698.620000, volume=33
[552] trade: price=9013.010000, volume=36
[553] trade: price=8698.620000, volume=5
[554] trade: price=9175.830000, volume=222
[555] trade: price=9184.680000, volume=161
[556] trade: price=9184.680000, volume=140
[557] trade: price=9184.680000, volume=53
[558] trade: price=9184.680000, volume=102
[559] trade: price=9176.400000, volume=215
[560] trade: price=9176.400000, volume=26
[561] trade: price=9249.940000, volume=201
[562] trade: price=9184.450000, volume=112
[563] trade: price=9176.400000, volume=171
[564] trade: price=9184.450000, volume=22
[565] trade: price=9184.450000, volume=242
[566] trade: price=9176.400000, volume=169
[567] trade: price=9176.400000, volume=161
[568] trade: price=9176.400000, volume=211
[569] trade: price=9176.400000, volume=14
[570] trade: price=9083.350000, volume=15
[571] trade: price=9184.450000, volume=112
[572] trade: price=9184.450000, volume=252
[573] trade: price=9184.450000, volume=26
[574] trade: price=9184.450000, volume=24
[575] trade: price=9184.450000, volume=8
[576] trade: price=9083.350000, volume=341
[577] trade: price=9215.070000, volume=41
[578] trade: price=9301.140000, volume=207
[579] trade: price=9301.140000, volume=32
[580] trade: price=9301.140000, volume=74
[581] trade: price=9083.350000, volume=35
[582] trade: price=9083.350000, volume=149
[583] trade: price=9083.350000, volume=192
[584] trade: price=9301.140000, volume=11
[585] trade: price=9301.140000, volume=83
[586] trade: price=9083.350000, volume=53
[587] trade: price=9083.350000, volume=8
[588] trade: price=9083.350000, volume=42
[589] trade: price=9083.350000, volume=77
[590] trade: price=9083.350000, volume=69
[591] trade: price=9053.560000, volume=267
[592] trade: price=9053.560000, volume=18
[593] trade: price=9053.560000, volume=122
[594] trade: price=9053.560000, volume=241
[595] trade: price=8936.980000, volume=12
[596] trade: price=8936.980000, volume=107
[597] trade: price=8936.980000, volume=40
[598] trade: price=8945.660000, volume=142
[599] trade: price=8945.660000, volume=116
[600] trade: price=8929.010000, volume=29
[601] trade: price=8826.960000, volume=66
[602] trade: price=8826.960000, volume=173
[603] trade: price=8826.960000, volume=143
[604] trade: price=8826.960000, volume=30
[605] trade: price=8826.960000, volume=126
[606] trade: price=8826.960000, volume=39
[607] trade: price=8826.960000, volume=198
[608] trade: price=8826.960000, volume=38
[609] trade: price=8826.960000, volume=83
[610] trade: price=8826.960000, volume=234
[611] trade: price=8823.590000, volume=22
[612] trade: price=8848.620000, volume=60
[613] trade: price=8848.620000, volume=73
[614] trade: price=8848.620000, volume=260
[615] trade: price=8823.590000, volume=87
[616] trade: price=8884.380000, volume=104
[617] trade: price=8823.590000, volume=83
[618] trade: price=8823.590000, volume=23
[619] trade: price=8823.590000, volume=78
[620] trade: price=8823.590000, volume=120
[621] trade: price=8823.590000, volume=123
[622] trade: price=8823.590000, volume=61
[623] trade: price=8823.590000, volume=175
[624] trade: price=8823.590000, volume=152
[625] trade: price=8823.590000, volume=28
[626] trade: price=8823.590000, volume=77
[627] trade: price=8823.590000, volume=90
[628] trade: price=8823.590000, volume=46
[629] trade: price=8823.590000, volume=60
[630] trade: price=8823.590000, volume=125
[631] trade: price=8823.590000, volume=24
[632] trade: price=8823.590000, volume=26
[633] trade: price=8823.590000, volume=348
[634] trade: price=8823.590000, volume=15
[635] trade: price=8823.590000, volume=143
[636] trade: price=8823.590000, volume=40
[637] trade: price=8823.590000, volume=30
[638] trade: price=8823.590000, volume=92
[639] trade: price=9100.520000, volume=30
[640] trade: price=9015.740000, volume=121
[641] trade: price=8935.790000, volume=200
[642] trade: price=8935.790000, volume=54
[643] trade: price=8995.420000, volume=57
[644] trade: price=8995.420000, volume=131
[645] trade: price=8995.420000, volume=138
[646] trade: price=8900.000000, volume=39
[647] trade: price=8900.000000, volume=69
[648] trade: price=8900.000000, volume=84
[649] trade: price=8823.590000, volume=19
[650] trade: price=8900.000000, volume=14
[651] trade: price=8900.000000, volume=52
[652] trade: price=8823.590000, volume=216
[653] trade: price=8900.000000, volume=23
[654] trade: price=8900.000000, volume=226
[655] trade: price=8823.590000, volume=64
[656] trade: price=8766.640000, volume=96
[657] trade: price=8873.650000, volume=66
[658] trade: price=8873.650000, volume=24
[659] trade: price=8900.000000, volume=167
[660] trade: price=8900.000000, volume=85
[661] trade: price=8900.000000, volume=80
[662] trade: price=9021.220000, volume=164
[663] trade: price=8796.970000, volume=12
[664] trade: price=8796.970000, volume=54
[665] trade: price=8796.970000, volume=318
[666] trade: price=8922.820000, volume=148
[667] trade: price=8796.970000, volume=77
[668] trade: price=8766.640000, volume=65
[669] trade: price=8766.640000, volume=59
[670] trade: price=8766.640000, volume=115
[671] trade: price=8766.640000, volume=129
[672] trade: price=8766.640000, volume=41
[673] trade: price=8766.640000, volume=29
[674] trade: price=8743.760000, volume=224
[675] trade: price=8743.760000, volume=84
[676] trade: price=8709.710000, volume=117
[677] trade: price=8631.640000, volume=51
[678] trade: price=8743.760000, volume=263
[679] trade: price=8766.640000, volume=30
[680] trade: price=8766.640000, volume=66
[681] trade: price=8766.640000, volume=77
[682] trade: price=8766.640000, volume=73
[683] trade: price=8766.640000, volume=102
[684] trade: price=8650.020000, volume=72
[685] trade: price=8650.020000, volume=81
[686] trade: price=8631.640000, volume=237
[687] trade: price=8631.640000, volume=72
[688] trade: price=8766.640000, volume=29
[689] trade: price=8631.640000, volume=274
[690] trade: price=8631.180000, volume=41
[691] trade: price=8766.640000, volume=72
[692] trade: price=8766.640000, volume=131
[693] trade: price=8953.410000, volume=94
[694] trade: price=8953.410000, volume=109
[695] trade: price=8953.410000, volume=143
[696] trade: price=8953.410000, volume=51
[697] trade: price=8953.410000, volume=160
[698] trade: price=8953.410000, volume=50
[699] trade: price=8953.410000, volume=135
[700] trade: price=8953.410000, volume=24
[701] trade: price=8953.410000, volume=211
[702] trade: price=8953.410000, volume=8
[703] trade: price=8953.410000, volume=272
[704] trade: price=8844.110000, volume=155
[705] trade: price=8844.110000, volume=146
[706] trade: price=8844.110000, volume=202
[707] trade: price=8667.390000, volume=94
[708] trade: price=8667.390000, volume=30
[709] trade: price=8953.410000, volume=88
[710] trade: price=8651.870000, volume=88
[711] trade: price=8651.870000, volume=225
[712] trade: price=8771.230000, volume=225
[713] trade: price=8771.230000, volume=10
[714] trade: price=8771.230000, volume=91
[715] trade: price=8771.230000, volume=19
[716] trade: price=8855.060000, volume=193
[717] trade: price=8855.060000, volume=23
[718] trade: price=8855.060000, volume=40
[719] trade: price=8855.060000, volume=63
[720] trade: price=8855.060000, volume=65
[721] trade: price=8855.060000, volume=152
[722] trade: price=8855.060000, volume=30
[723] trade: price=8855.060000, volume=171
[724] trade: price=8693.390000, volume=246
[725] trade: price=8712.250000, volume=276
[726] trade: price=8712.250000, volume=66
[727] trade: price=8712.250000, volume=65
[728] trade: price=8712.250000, volume=197
[729] trade: price=8712.250000, volume=119
[730] trade: price=8712.250000, volume=238
[731] trade: price=8712.250000, volume=8
[732] trade: price=8712.250000, volume=243
[733] trade: price=8712.250000, volume=9
[734] trade: price=8712.250000, volume=81
